sample_idx,natoms,time,memory,energy_mae,energy_mae_per_atom,forces_mae,hessian_mae,hessian_mre,asymmetry_mae,true_asymmetry_mae,eigval_mae,eigval_mre,true_neg_num,true_is_minima,true_is_ts,true_is_ts_order2,true_is_higher_order,model_neg_num,model_is_ts,model_is_minima,model_is_ts_order2,model_is_higher_order,neg_num_agree,eigval_mae_eckart,eigval_mre_eckart,eigval1_mae_eckart,eigval1_mre_eckart,eigval2_mae_eckart,eigval2_mre_eckart,eigvec1_cos_eckart,eigvec2_cos_eckart,eigvec_overlap_error,freq_mae_400_4000,freq_mae_400_4000_dataset
0,30,3211.47705078125,1717.24288,12607.2646484375,420.2421875,0.2431677281856537,0.9306231737136841,33.1139030456543,1.0943148136138916,5.288182819640497e-06,11.380258560180664,124.4021224975586,8,0,0,0,1,17,0,0,0,1,0,2.9223856543827034,2.158333969221494,2.294458569918114,0.7420117600443082,2.3842424401849343,14.530314070261957,0.8818643474573553,0.06001300289535361,11.686343156240701,3091.208100126365,
1,22,1415.8521728515625,1852.260352,10897.4267578125,495.33758544921875,0.16411811113357544,0.9838514924049377,16.765506744384766,0.8949906826019287,2.7629250325844623e-05,11.526660919189453,112.43323516845703,3,0,0,0,1,9,0,0,0,1,0,2.5956421645596737,2.5116045904922606,0.14357912610868162,0.1563343848151167,0.3269255332659771,1.3006490971057496,0.3507424313017817,0.35850688919304097,9.720905756266678,2278.6617301217657,
2,17,759.34619140625,1235.259904,8323.01953125,489.5893859863281,0.08962154388427734,1.097943663597107,14.887048721313477,0.9856160879135132,4.8154412070289254e-05,9.557074546813965,26.674869537353516,3,0,0,0,1,6,0,0,0,1,0,2.433464524329281,0.6620735976978894,0.845265641774134,3.0568186871059946,0.06475606233894726,0.4648910652807615,0.8412304554395881,0.5772165976307307,7.9183964464260495,2510.389954303078,
3,26,2187.20654296875,1503.699456,10964.6484375,421.7172546386719,0.06433199346065521,0.6805297136306763,36.001808166503906,0.682592511177063,1.6137091733980924e-05,7.717963695526123,32.2388801574707,8,0,0,0,1,13,0,0,0,1,0,2.698127966367699,1.2965859315718502,0.3737950890833561,0.13224899501247817,1.1780288493537938,11.424417939783574,0.9640226259562953,0.10993889575463116,10.334923865324303,1938.5335009441235,
4,17,761.9041137695312,1426.648576,12381.9345703125,728.34912109375,0.06951642781496048,1.0998095273971558,12.841839790344238,0.7823215126991272,6.393260264303535e-05,11.460691452026367,43.020076751708984,2,0,0,1,0,4,0,0,0,1,0,2.2707617645482046,0.6415083396360947,0.07799876492213893,0.5669932687689458,0.03541061707431135,0.4917924563366028,0.13768726077521218,0.16546601227299806,8.037343420640376,1820.070188007533,
5,19,969.871337890625,1137.269248,8356.46484375,439.8139343261719,0.09642015397548676,1.2513741254806519,35.17487335205078,1.305819034576416,5.4573207307839766e-05,11.379922866821289,96.37605285644531,5,0,0,0,1,8,0,0,0,1,0,2.373143017158426,0.8867795157724864,1.2176619344606814,1.1381862129832963,0.8174042084970182,2.6652961177902346,0.8882473178642947,0.03219309232925593,8.428809170335493,1896.7422510714575,
6,19,966.6621704101562,1203.564032,9263.3251953125,487.5434265136719,0.08276106417179108,0.8415981531143188,15.722474098205566,0.7130250930786133,9.040585609909613e-06,8.613848686218262,83.54419708251953,4,0,0,0,1,6,0,0,0,1,0,2.8817866274846566,0.6598625544508017,0.1019949972526084,1.1281948969743592,0.08395501387955398,1.8274172584071564,0.1884444423933984,0.39208854559320927,8.22769704585742,2609.6164565950958,
7,18,844.0383911132812,1164.885504,10265.740234375,570.3189086914062,0.18033477663993835,1.6683796644210815,18.254302978515625,1.7271934747695923,2.0224943000357598e-05,14.33582592010498,98.41593170166016,3,0,0,0,1,12,0,0,0,1,0,3.4095236037956718,1.6271471864161213,2.189110511359382,2.1109148020803254,0.8027639219372678,3.3518557788070122,0.5609397909504548,0.17867637657563634,8.275409585352202,,
8,18,843.83984375,1130.174464,11945.2783203125,663.6265869140625,0.037114206701517105,0.8064621090888977,20.580556869506836,0.4948630928993225,3.451583324931562e-05,8.776762962341309,29.55877113342285,3,0,0,0,1,5,0,0,0,1,0,1.9952762512667856,0.5788053077770913,0.18252390019905285,0.8535531158025619,0.11222515562884336,0.8591004802051877,0.10136535295030505,0.008678555387630127,7.7775056627807775,1605.6997647860956,
9,17,725.9811401367188,1091.43808,8426.158203125,495.6563720703125,0.17331314086914062,1.5899959802627563,12.35988998413086,1.4856749773025513,2.4979570298455656e-05,13.331148147583008,152.94497680664062,3,0,0,0,1,12,0,0,0,1,0,2.904267698499914,3.800003028061809,1.9410556314189429,8.541561506451485,1.5441585581818424,30.33956819655472,0.6074017807710249,0.1703932786798731,8.195904701629207,,
10,18,843.167724609375,1098.506752,8896.7705078125,494.2650451660156,0.09319818019866943,1.0170429944992065,9.305750846862793,0.8028260469436646,1.6238285752478987e-05,9.524681091308594,15.90419864654541,3,0,0,0,1,7,0,0,0,1,0,2.3526907246703312,0.6309985763471816,0.3499746316580105,0.7690858851429078,0.29767321505883215,0.6856487606672031,0.1654339602550118,0.10025148389377941,8.17328321281755,3050.792536252466,
11,16,653.0086059570312,1052.686848,12356.107421875,772.2567138671875,0.2050480842590332,2.1847336292266846,15.74059772491455,2.1879217624664307,0.00015020983119029552,17.00653076171875,87.03649139404297,3,0,0,0,1,9,0,0,0,1,0,3.348977447136476,3.6686606744033257,0.6028034099144675,0.1068814397422989,1.2490388182079706,6.94956839008546,0.9205480467864264,0.20252150939563984,8.200059581982961,3044.917230349163,
12,14,595.7183837890625,915.51744,9736.939453125,695.4957275390625,0.11973642557859421,1.673172950744629,7.987551689147949,1.6146304607391357,6.798732647439465e-05,10.612377166748047,203.96900939941406,2,0,0,1,0,6,0,0,0,1,0,2.1685092051092596,0.863687826489086,0.3789798434933196,0.21391162403603678,0.558273150560315,7.643237158945466,0.9286020848289163,0.2208424826079079,6.913576246107106,,
